"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username","remove_user","cleaning","case_folding","tokenisasi","normalisasi","stopword_removal","stemming","to_sentence","cluster","sentimen"
"1.78E+31","Wed Apr 24 13:11:27 +0000 2024","16"," Dana bansos di tahun pemilu 2024 dikeluarkan mulai 2023 adalah 560 23 triliun rupiah. Tidak boleh kita biarkan supaya di masa depan tidak ada lagi pejabat yang ingin memenangkan keluarganya akan gelontorkan uang negara (Eep) #GulingkanRezimGarong #GulingkanRezimGarong https://t.co/CnjiZyLMBZ","1.78E+31","https://pbs.twimg.com/ext_tw_video_thumb/1783121527367680000/pu/img/aY13PvHUnXnuyF1H.jpg","","in","","0","4","12","https://twitter.com/dancersejati07/status/1783121575493189864","1.61E+31","dancersejati07"," Dana bansos di tahun pemilu 2024 dikeluarkan mulai 2023 adalah 560 23 triliun rupiah. Tidak boleh kita biarkan supaya di masa depan tidak ada lagi pejabat yang ingin memenangkan keluarganya akan gelontorkan uang negara (Eep) #GulingkanRezimGarong #GulingkanRezimGarong https://t.co/CnjiZyLMBZ"," Dana bansos tahun pemilu dikeluarkan mulai adalah triliun rupiah Tidak boleh kita biarkan supaya masa depan tidak ada lagi pejabat yang ingin memenangkan keluarganya akan gelontorkan uang negara Eep GulingkanRezimGarong GulingkanRezimGarong "," dana bansos tahun pemilu dikeluarkan mulai adalah triliun rupiah tidak boleh kita biarkan supaya masa depan tidak ada lagi pejabat yang ingin memenangkan keluarganya akan gelontorkan uang negara eep gulingkanrezimgarong gulingkanrezimgarong ","['dana', 'bansos', 'tahun', 'pemilu', 'dikeluarkan', 'mulai', 'adalah', 'triliun', 'rupiah', 'tidak', 'boleh', 'kita', 'biarkan', 'supaya', 'masa', 'depan', 'tidak', 'ada', 'lagi', 'pejabat', 'yang', 'ingin', 'memenangkan', 'keluarganya', 'akan', 'gelontorkan', 'uang', 'negara', 'eep', 'gulingkanrezimgarong', 'gulingkanrezimgarong']","['dana', 'bansos', 'tahun', 'pemilu', 'dikeluarkan', 'mulai', 'adalah', 'triliun', 'rupiah', 'tidak', 'boleh', 'kita', 'biarkan', 'supaya', 'masa', 'depan', 'tidak', 'ada', 'lagi', 'pejabat', 'yang', 'ingin', 'memenangkan', 'keluarganya', 'akan', 'gelontorkan', 'uang', 'negara', 'eep', 'gulingkanrezimgarong', 'gulingkanrezimgarong']","['dana', 'bansos', 'pemilu', 'dikeluarkan', 'triliun', 'rupiah', 'biarkan', 'pejabat', 'memenangkan', 'keluarganya', 'gelontorkan', 'uang', 'negara', 'eep', 'gulingkanrezimgarong', 'gulingkanrezimgarong']","['dana', 'bansos', 'milu', 'keluar', 'triliun', 'rupiah', 'biar', 'jabat', 'menang', 'keluarga', 'gelontor', 'uang', 'negara', 'eep', 'gulingkanrezimgarong', 'gulingkanrezimgarong']","dana bansos milu keluar triliun rupiah biar jabat menang keluarga gelontor uang negara eep gulingkanrezimgarong gulingkanrezimgarong","0","Negatif"
"1.78E+31","Thu Apr 25 12:10:16 +0000 2024","37","Breaking News - Pemilu Usai Saatnya Bersama Membangun Negeri https://t.co/KCfe4G6ozV","1.78E+31","https://pbs.twimg.com/ext_tw_video_thumb/1783468491124985856/pu/img/Wsssyb6cwl7ISS7U.jpg","","in","Jakarta Capital Region","10","45","7","https://twitter.com/Mdy_Asmara1701/status/1783468568279171301","1.33E+30","Mdy_Asmara1701","Breaking News - Pemilu Usai Saatnya Bersama Membangun Negeri https://t.co/KCfe4G6ozV","Breaking News Pemilu Usai Saatnya Bersama Membangun Negeri ","breaking news pemilu usai saatnya bersama membangun negeri ","['breaking', 'news', 'pemilu', 'usai', 'saatnya', 'bersama', 'membangun', 'negeri']","['breaking', 'news', 'pemilu', 'usai', 'saatnya', 'bersama', 'membangun', 'negeri']","['breaking', 'news', 'pemilu', 'membangun', 'negeri']","['breaking', 'news', 'milu', 'bangun', 'negeri']","breaking news milu bangun negeri","0","Negatif"
"1.78E+31","Tue Apr 23 13:10:12 +0000 2024","14156","Setelah keciduk foto ama Zionis dan suaranya kena boikot pas pemilu kemarin ybs sekarang berusaha memperbaiki citra dengan mendekati Palestina. https://t.co/ucOSjfzzQ4","1.78E+31","https://pbs.twimg.com/media/GL2hv66agAAAglB.jpg","","in","Jakarta, Indonesia","205","518","2998","https://twitter.com/erlanishere/status/1782758875621667152","69561307.0","erlanishere","Setelah keciduk foto ama Zionis dan suaranya kena boikot pas pemilu kemarin ybs sekarang berusaha memperbaiki citra dengan mendekati Palestina. https://t.co/ucOSjfzzQ4","Setelah keciduk foto ama Zionis dan suaranya kena boikot pas pemilu kemarin ybs sekarang berusaha memperbaiki citra dengan mendekati Palestina ","setelah keciduk foto ama zionis dan suaranya kena boikot pas pemilu kemarin ybs sekarang berusaha memperbaiki citra dengan mendekati palestina ","['setelah', 'keciduk', 'foto', 'ama', 'zionis', 'dan', 'suaranya', 'kena', 'boikot', 'pas', 'pemilu', 'kemarin', 'ybs', 'sekarang', 'berusaha', 'memperbaiki', 'citra', 'dengan', 'mendekati', 'palestina']","['setelah', 'keciduk', 'foto', 'sama', 'zionis', 'dan', 'suaranya', 'kena', 'boikot', 'pas', 'pemilu', 'kemarin', 'ybs', 'sekarang', 'berusaha', 'memperbaiki', 'citra', 'dengan', 'mendekati', 'palestina']","['keciduk', 'foto', 'zionis', 'suaranya', 'kena', 'boikot', 'pas', 'pemilu', 'kemarin', 'ybs', 'berusaha', 'memperbaiki', 'citra', 'mendekati', 'palestina']","['ciduk', 'foto', 'zionis', 'suara', 'kena', 'boikot', 'pas', 'milu', 'kemarin', 'ybs', 'usaha', 'baik', 'citra', 'dekat', 'palestina']","ciduk foto zionis suara kena boikot pas milu kemarin ybs usaha baik citra dekat palestina","0","Negatif"
"1.78E+31","Thu Apr 25 12:12:20 +0000 2024","182","as pemilu 2024 comes to an end... i'm ending it too : ) so a little finale to close it up: jagat silang: edisi khusus pemilu 2024 : a zine/artbook! 56 pages of: - all my editorial pemilu art - un/posted doodles WIPs concepts - essays on my experience peeks + get below: https://t.co/DofPTBgghL","1.78E+31","https://pbs.twimg.com/media/GMAnqiQasAEc3PM.jpg","","en","Indonesia","3","7","77","https://twitter.com/meihqtsume/status/1783469087890481255","8.31E+30","meihqtsume","as pemilu 2024 comes to an end... i'm ending it too : ) so a little finale to close it up: jagat silang: edisi khusus pemilu 2024 : a zine/artbook! 56 pages of: - all my editorial pemilu art - un/posted doodles WIPs concepts - essays on my experience peeks + get below: https://t.co/DofPTBgghL"," pemilu comes end ending too little finale close jagat silang edisi khusus pemilu zine artbook pages all editorial pemilu art posted doodles WIPs concepts essays experience peeks get below "," pemilu comes end ending too little finale close jagat silang edisi khusus pemilu zine artbook pages all editorial pemilu art posted doodles wips concepts essays experience peeks get below ","['pemilu', 'comes', 'end', 'ending', 'too', 'little', 'finale', 'close', 'jagat', 'silang', 'edisi', 'khusus', 'pemilu', 'zine', 'artbook', 'pages', 'all', 'editorial', 'pemilu', 'art', 'posted', 'doodles', 'wips', 'concepts', 'essays', 'experience', 'peeks', 'get', 'below']","['pemilu', 'comes', 'end', 'ending', 'too', 'little', 'finale', 'close', 'jagat', 'silang', 'edisi', 'khusus', 'pemilu', 'zine', 'artbook', 'pages', 'all', 'editorial', 'pemilu', 'art', 'posted', 'doodles', 'wips', 'concepts', 'essays', 'experience', 'peeks', 'get', 'below']","['pemilu', 'comes', 'end', 'ending', 'too', 'little', 'finale', 'close', 'jagat', 'silang', 'edisi', 'khusus', 'pemilu', 'zine', 'artbook', 'pages', 'all', 'editorial', 'pemilu', 'art', 'posted', 'doodles', 'wips', 'concepts', 'essays', 'experience', 'peeks', 'get', 'below']","['milu', 'comes', 'end', 'ending', 'too', 'little', 'finale', 'close', 'jagat', 'silang', 'edisi', 'khusus', 'milu', 'zine', 'artbook', 'pages', 'all', 'editorial', 'milu', 'art', 'posted', 'doodles', 'wips', 'concepts', 'essays', 'experience', 'peeks', 'get', 'below']","milu comes end ending too little finale close jagat silang edisi khusus milu zine artbook pages all editorial milu art posted doodles wips concepts essays experience peeks get below","0","Negatif"
"1.78E+31","Mon Apr 22 14:24:15 +0000 2024","616",". . Mereka telah menemukan caranya .. Pemilu-Pemilu kedepan tinggal disempurnakan Maka Pemilu seperti Era Orde Barupun akan terulang .. Pemenang Pemilu sudah bisa ditentukan sebelum Pemilu dilaksanakan Rakyat ??!! Akan terus dipelihara Miskin dan Bodoh supaya setiap 5 tahun https://t.co/GW9uQcXUpK","1.78E+31","https://pbs.twimg.com/ext_tw_video_thumb/1782415089276182528/pu/img/ZCcV-hTxGYCI0xuJ.jpg","","in","Social Media Influencer","4","69","174","https://twitter.com/StefanAntonio__/status/1782415122457309365","1.53E+31","StefanAntonio__",". . Mereka telah menemukan caranya .. Pemilu-Pemilu kedepan tinggal disempurnakan Maka Pemilu seperti Era Orde Barupun akan terulang .. Pemenang Pemilu sudah bisa ditentukan sebelum Pemilu dilaksanakan Rakyat ??!! Akan terus dipelihara Miskin dan Bodoh supaya setiap 5 tahun https://t.co/GW9uQcXUpK"," Mereka telah menemukan caranya Pemilu Pemilu kedepan tinggal disempurnakan Maka Pemilu seperti Era Orde Barupun akan terulang Pemenang Pemilu sudah bisa ditentukan sebelum Pemilu dilaksanakan Rakyat Akan terus dipelihara Miskin dan Bodoh supaya setiap tahun "," mereka telah menemukan caranya pemilu pemilu kedepan tinggal disempurnakan maka pemilu seperti era orde barupun akan terulang pemenang pemilu sudah bisa ditentukan sebelum pemilu dilaksanakan rakyat akan terus dipelihara miskin dan bodoh supaya setiap tahun ","['mereka', 'telah', 'menemukan', 'caranya', 'pemilu', 'pemilu', 'kedepan', 'tinggal', 'disempurnakan', 'maka', 'pemilu', 'seperti', 'era', 'orde', 'barupun', 'akan', 'terulang', 'pemenang', 'pemilu', 'sudah', 'bisa', 'ditentukan', 'sebelum', 'pemilu', 'dilaksanakan', 'rakyat', 'akan', 'terus', 'dipelihara', 'miskin', 'dan', 'bodoh', 'supaya', 'setiap', 'tahun']","['mereka', 'telah', 'menemukan', 'caranya', 'pemilu', 'pemilu', 'kedepan', 'tinggal', 'disempurnakan', 'maka', 'pemilu', 'seperti', 'era', 'orde', 'barupun', 'akan', 'terulang', 'pemenang', 'pemilu', 'sudah', 'bisa', 'ditentukan', 'sebelum', 'pemilu', 'dilaksanakan', 'rakyat', 'akan', 'terus', 'dipelihara', 'miskin', 'dan', 'bodoh', 'supaya', 'setiap', 'tahun']","['menemukan', 'pemilu', 'pemilu', 'kedepan', 'tinggal', 'disempurnakan', 'pemilu', 'era', 'orde', 'barupun', 'terulang', 'pemenang', 'pemilu', 'ditentukan', 'pemilu', 'dilaksanakan', 'rakyat', 'dipelihara', 'miskin', 'bodoh']","['temu', 'milu', 'milu', 'depan', 'tinggal', 'sempurna', 'milu', 'era', 'orde', 'baru', 'ulang', 'menang', 'milu', 'tentu', 'milu', 'laksana', 'rakyat', 'pelihara', 'miskin', 'bodoh']","temu milu milu depan tinggal sempurna milu era orde baru ulang menang milu tentu milu laksana rakyat pelihara miskin bodoh","1","Netral"
"1.78E+31","Tue Apr 23 02:06:20 +0000 2024","6833","Kemenangan lewat pemilu bukan nepotisme.","1.78E+31","","","in","Michuhol-gu, Republic of Korea","4","24","1954","https://twitter.com/ardisatriawan/status/1782591807374901280","170542374.0","ardisatriawan","Kemenangan lewat pemilu bukan nepotisme.","Kemenangan lewat pemilu bukan nepotisme ","kemenangan lewat pemilu bukan nepotisme ","['kemenangan', 'lewat', 'pemilu', 'bukan', 'nepotisme']","['kemenangan', 'lewat', 'pemilu', 'bukan', 'nepotisme']","['kemenangan', 'pemilu', 'nepotisme']","['menang', 'milu', 'nepotisme']","menang milu nepotisme","0","Negatif"
"1.78E+31","Wed Apr 24 23:22:44 +0000 2024","2540","Tau gak yg bikin pemilu kali ini seru banget bahkan sampe orang biasa aja interest ke politik Karena kita rakyat biasa yg sudah melek data &amp; fakta berusaha melawan penguasa dan org yang haus akan kekuasaan Tetap bangga dibarisan 01 apapun telh di upayakan Trimakasih semuanya️ https://t.co/L89R1mcIKm","1.78E+31","https://pbs.twimg.com/media/GL93iGuagAAvdqE.jpg","","in","","6","111","273","https://twitter.com/nialubis_/status/1783275412610802078","1.60E+31","nialubis_","Tau gak yg bikin pemilu kali ini seru banget bahkan sampe orang biasa aja interest ke politik Karena kita rakyat biasa yg sudah melek data &amp; fakta berusaha melawan penguasa dan org yang haus akan kekuasaan Tetap bangga dibarisan 01 apapun telh di upayakan Trimakasih semuanya️ https://t.co/L89R1mcIKm","Tau gak bikin pemilu kali ini seru banget bahkan sampe orang biasa aja interest politik Karena kita rakyat biasa sudah melek data amp fakta berusaha melawan penguasa dan org yang haus akan kekuasaan Tetap bangga dibarisan apapun telh upayakan Trimakasih semuanya ","tau gak bikin pemilu kali ini seru banget bahkan sampe orang biasa aja interest politik karena kita rakyat biasa sudah melek data amp fakta berusaha melawan penguasa dan org yang haus akan kekuasaan tetap bangga dibarisan apapun telh upayakan trimakasih semuanya ","['tau', 'gak', 'bikin', 'pemilu', 'kali', 'ini', 'seru', 'banget', 'bahkan', 'sampe', 'orang', 'biasa', 'aja', 'interest', 'politik', 'karena', 'kita', 'rakyat', 'biasa', 'sudah', 'melek', 'data', 'amp', 'fakta', 'berusaha', 'melawan', 'penguasa', 'dan', 'org', 'yang', 'haus', 'akan', 'kekuasaan', 'tetap', 'bangga', 'dibarisan', 'apapun', 'telh', 'upayakan', 'trimakasih', 'semuanya']","['tau', 'enggak', 'bikin', 'pemilu', 'kali', 'ini', 'seru', 'banget', 'bahkan', 'sampai', 'orang', 'biasa', 'saja', 'interest', 'politik', 'karena', 'kita', 'rakyat', 'biasa', 'sudah', 'melek', 'data', 'amp', 'fakta', 'berusaha', 'melawan', 'penguasa', 'dan', 'orang', 'yang', 'haus', 'akan', 'kekuasaan', 'tetap', 'bangga', 'dibarisan', 'apapun', 'telh', 'upayakan', 'trimakasih', 'semuanya']","['tau', 'bikin', 'pemilu', 'kali', 'seru', 'banget', 'orang', 'interest', 'politik', 'rakyat', 'melek', 'data', 'fakta', 'berusaha', 'melawan', 'penguasa', 'orang', 'haus', 'kekuasaan', 'bangga', 'dibarisan', 'apapun', 'telh', 'upayakan', 'trimakasih']","['tau', 'bikin', 'milu', 'kali', 'seru', 'banget', 'orang', 'interest', 'politik', 'rakyat', 'melek', 'data', 'fakta', 'usaha', 'lawan', 'kuasa', 'orang', 'haus', 'kuasa', 'bangga', 'baris', 'apa', 'telh', 'upaya', 'trimakasih']","tau bikin milu kali seru banget orang interest politik rakyat melek data fakta usaha lawan kuasa orang haus kuasa bangga baris apa telh upaya trimakasih","1","Netral"
"1.78E+31","Mon Apr 22 22:38:35 +0000 2024","1848","Rocky gerung bicara hasil putusan MK....: 3 desending itu ajaib 3 hakim menyatakan pemilu curang ya berarti pemilu itu curang sedangkan yg 5 itu sdh cacat bawaan dari awal mereka hanya mempertahankan dalil yg sdh ada dalil yg sdh diputus paman usman..... watch it https://t.co/5Ol28wLBii","1.78E+31","https://pbs.twimg.com/ext_tw_video_thumb/1782539326657839110/pu/img/eTYo3DTtXTD72K9E.jpg","","in","Planeta Rica, Colombia","13","29","706","https://twitter.com/5teV3n_Pe9eL/status/1782539525576880583","224431376.0","5teV3n_Pe9eL","Rocky gerung bicara hasil putusan MK....: 3 desending itu ajaib 3 hakim menyatakan pemilu curang ya berarti pemilu itu curang sedangkan yg 5 itu sdh cacat bawaan dari awal mereka hanya mempertahankan dalil yg sdh ada dalil yg sdh diputus paman usman..... watch it https://t.co/5Ol28wLBii","Rocky gerung bicara hasil putusan desending itu ajaib hakim menyatakan pemilu curang berarti pemilu itu curang sedangkan itu sdh cacat bawaan dari awal mereka hanya mempertahankan dalil sdh ada dalil sdh diputus paman usman watch ","rocky gerung bicara hasil putusan desending itu ajaib hakim menyatakan pemilu curang berarti pemilu itu curang sedangkan itu sdh cacat bawaan dari awal mereka hanya mempertahankan dalil sdh ada dalil sdh diputus paman usman watch ","['rocky', 'gerung', 'bicara', 'hasil', 'putusan', 'desending', 'itu', 'ajaib', 'hakim', 'menyatakan', 'pemilu', 'curang', 'berarti', 'pemilu', 'itu', 'curang', 'sedangkan', 'itu', 'sdh', 'cacat', 'bawaan', 'dari', 'awal', 'mereka', 'hanya', 'mempertahankan', 'dalil', 'sdh', 'ada', 'dalil', 'sdh', 'diputus', 'paman', 'usman', 'watch']","['rocky', 'gerung', 'bicara', 'hasil', 'putusan', 'desending', 'itu', 'ajaib', 'hakim', 'menyatakan', 'pemilu', 'curang', 'berarti', 'pemilu', 'itu', 'curang', 'sedangkan', 'itu', 'sudah', 'cacat', 'bawaan', 'dari', 'awal', 'mereka', 'hanya', 'mempertahankan', 'dalil', 'sudah', 'ada', 'dalil', 'sudah', 'diputus', 'paman', 'usman', 'watch']","['rocky', 'gerung', 'bicara', 'hasil', 'putusan', 'desending', 'ajaib', 'hakim', 'pemilu', 'curang', 'pemilu', 'curang', 'cacat', 'bawaan', 'mempertahankan', 'dalil', 'dalil', 'diputus', 'paman', 'usman', 'watch']","['rocky', 'gerung', 'bicara', 'hasil', 'putus', 'desending', 'ajaib', 'hakim', 'milu', 'curang', 'milu', 'curang', 'cacat', 'bawa', 'tahan', 'dalil', 'dalil', 'putus', 'paman', 'usman', 'watch']","rocky gerung bicara hasil putus desending ajaib hakim milu curang milu curang cacat bawa tahan dalil dalil putus paman usman watch","2","Positif"
"1.78E+31","Wed Apr 24 15:08:28 +0000 2024","9267","Alhamdulillah hari ini Prabowo-Gibran telah resmi ditetapkan oleh KPU sebagai Presiden dan Wakil Presiden terpilih periode 2024-2029. Terima kasih kepada seluruh rakyat Indonesia penyelenggara pemilu tokoh agama prajurit TNI dan Polri relawan serta rekan-rekan pers yang https://t.co/qbGaONNi67","1.78E+31","https://pbs.twimg.com/media/GL8GZ1MaQAAHM5z.jpg","","in","Indonesia","172","791","1524","https://twitter.com/prabowo/status/1783151026264309951","40580714.0","prabowo","Alhamdulillah hari ini Prabowo-Gibran telah resmi ditetapkan oleh KPU sebagai Presiden dan Wakil Presiden terpilih periode 2024-2029. Terima kasih kepada seluruh rakyat Indonesia penyelenggara pemilu tokoh agama prajurit TNI dan Polri relawan serta rekan-rekan pers yang https://t.co/qbGaONNi67","Alhamdulillah hari ini Prabowo Gibran telah resmi ditetapkan oleh KPU sebagai Presiden dan Wakil Presiden terpilih periode Terima kasih kepada seluruh rakyat Indonesia penyelenggara pemilu tokoh agama prajurit TNI dan Polri relawan serta rekan rekan pers yang ","alhamdulillah hari ini prabowo gibran telah resmi ditetapkan oleh kpu sebagai presiden dan wakil presiden terpilih periode terima kasih kepada seluruh rakyat indonesia penyelenggara pemilu tokoh agama prajurit tni dan polri relawan serta rekan rekan pers yang ","['alhamdulillah', 'hari', 'ini', 'prabowo', 'gibran', 'telah', 'resmi', 'ditetapkan', 'oleh', 'kpu', 'sebagai', 'presiden', 'dan', 'wakil', 'presiden', 'terpilih', 'periode', 'terima', 'kasih', 'kepada', 'seluruh', 'rakyat', 'indonesia', 'penyelenggara', 'pemilu', 'tokoh', 'agama', 'prajurit', 'tni', 'dan', 'polri', 'relawan', 'serta', 'rekan', 'rekan', 'pers', 'yang']","['alhamdulillah', 'hari', 'ini', 'prabowo', 'gibran', 'telah', 'resmi', 'ditetapkan', 'oleh', 'kpu', 'sebagai', 'presiden', 'dan', 'wakil', 'presiden', 'terpilih', 'periode', 'terima', 'kasih', 'kepada', 'seluruh', 'rakyat', 'indonesia', 'penyelenggara', 'pemilu', 'tokoh', 'agama', 'prajurit', 'tni', 'dan', 'polri', 'relawan', 'serta', 'rekan', 'rekan', 'pers', 'yang']","['alhamdulillah', 'prabowo', 'gibran', 'resmi', 'ditetapkan', 'kpu', 'presiden', 'wakil', 'presiden', 'terpilih', 'periode', 'terima', 'kasih', 'rakyat', 'indonesia', 'penyelenggara', 'pemilu', 'tokoh', 'agama', 'prajurit', 'tni', 'polri', 'relawan', 'rekan', 'rekan', 'pers']","['alhamdulillah', 'prabowo', 'gibran', 'resmi', 'tetap', 'kpu', 'presiden', 'wakil', 'presiden', 'pilih', 'periode', 'terima', 'kasih', 'rakyat', 'indonesia', 'selenggara', 'milu', 'tokoh', 'agama', 'prajurit', 'tni', 'polri', 'rawan', 'rekan', 'rekan', 'pers']","alhamdulillah prabowo gibran resmi tetap kpu presiden wakil presiden pilih periode terima kasih rakyat indonesia selenggara milu tokoh agama prajurit tni polri rawan rekan rekan pers","1","Netral"
"1.78E+29","Wed Apr 17 06:26:26 +0000 2024","198","Apa kalian para jongos2 atau celeng udah lupa dgn jejak digital ini 2014 dan 2019 Wowo pernah menuntut hasil pemilu ke MK ? Jadi gak usah kepanasan dgn surat AMICUS CURIAEnya Bu Mega ke MK ?? https://t.co/jkp7wTEMqz","1.78E+29","https://pbs.twimg.com/ext_tw_video_thumb/1780482848593702913/pu/img/Fjvqn-yiSh-gMefU.jpg","","in","","6","26","68","https://twitter.com/GM_Warrios/status/1780482935159988232","1.26E+31","GM_Warrios","Apa kalian para jongos2 atau celeng udah lupa dgn jejak digital ini 2014 dan 2019 Wowo pernah menuntut hasil pemilu ke MK ? Jadi gak usah kepanasan dgn surat AMICUS CURIAEnya Bu Mega ke MK ?? https://t.co/jkp7wTEMqz","Apa kalian para jongos atau celeng udah lupa dgn jejak digital ini dan Wowo pernah menuntut hasil pemilu Jadi gak usah kepanasan dgn surat AMICUS CURIAEnya Mega ","apa kalian para jongos atau celeng udah lupa dgn jejak digital ini dan wowo pernah menuntut hasil pemilu jadi gak usah kepanasan dgn surat amicus curiaenya mega ","['apa', 'kalian', 'para', 'jongos', 'atau', 'celeng', 'udah', 'lupa', 'dgn', 'jejak', 'digital', 'ini', 'dan', 'wowo', 'pernah', 'menuntut', 'hasil', 'pemilu', 'jadi', 'gak', 'usah', 'kepanasan', 'dgn', 'surat', 'amicus', 'curiaenya', 'mega']","['apa', 'kalian', 'para', 'jongos', 'atau', 'celeng', 'sudah', 'lupa', 'dengan', 'jejak', 'digital', 'ini', 'dan', 'wowo', 'pernah', 'menuntut', 'hasil', 'pemilu', 'jadi', 'enggak', 'usah', 'kepanasan', 'dengan', 'surat', 'amicus', 'curiaenya', 'mega']","['jongos', 'celeng', 'lupa', 'jejak', 'digital', 'wowo', 'menuntut', 'hasil', 'pemilu', 'kepanasan', 'surat', 'amicus', 'curiaenya', 'mega']","['jongos', 'celeng', 'lupa', 'jejak', 'digital', 'wowo', 'tuntut', 'hasil', 'milu', 'panas', 'surat', 'amicus', 'curiaenya', 'mega']","jongos celeng lupa jejak digital wowo tuntut hasil milu panas surat amicus curiaenya mega","0","Negatif"
